id,UserOrdered,Ride,Date Of Order,Date to Ride,Time,Number of People,FirstName,LastName,email,telephone,Ethnicity,Residence,Date Of Birth,Driving License
2,Guest,2T Enduro,2023-04-11 05:46:17,2023-04-11,9:00-11:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Azerbaijan,Armenia,2023-04-11,NO
3,Guest,First Timers,2023-04-11 10:55:38,2023-04-12,9:00-11:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-04-11,NO
12009,Guest,First Timers,2023-04-12 10:04:48,2023-04-13,11:00-12:00,4,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Azerbaijan,Argentina,2023-04-12,NO
4,Guest,2T Enduro,2023-04-11 17:11:35,2023-04-16,14:00-15:00,5,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Albania,Anguilla,2023-04-11,NO
12014,Guest,Easy Enduro 1H,2023-04-15 00:18:58,2023-04-16,9:00-11:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Austria,Australia,2023-04-15,NO
12017,Guest,First Timers,2023-04-15 01:34:32,2023-04-19,11:00-12:00,3,Marios,Charalambides,marios-1996@windowslive.com,56461854166,Bahamas (the),Armenia,2023-04-15,NO
12021,Guest,First Timers,2023-04-18 01:51:22,2023-04-19,11:00-12:00,1,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Argentina,Bahamas (the),2023-04-18,NO
12016,Guest,First Timers,2023-04-15 01:23:58,2023-04-20,11:00-12:00,2,Marios,Charalambides,marios-1996@windowslive.com,56461854166,Bangladesh,,2023-04-15,NO
12026,Guest,Easy Enduro 1H,2023-04-19 01:41:15,2023-04-20,11:00-12:00,6,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Antigua and Barbuda,,2023-04-19,YES
12015,Guest,2T Enduro,2023-04-15 01:18:20,2023-04-22,14:00-15:00,2,Marios,Charalambides,marios-1996@windowslive.com,56461854166,Azerbaijan,Austria,2023-04-15,NO
12030,Guest,2T Enduro,2023-04-21 19:17:43,2023-04-22,9:00-11:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Australia,Barbados,2023-04-21,YES
12033,Guest,2T Enduro,2023-04-23 02:15:37,2023-04-24,15:00-17:00,4,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Australia,Australia,2023-03-29,YES
12007,Guest,2T Enduro,2023-04-11 19:37:49,2023-04-24,8:00-9:00,5,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Argentina,Argentina,2023-04-11,NO
12029,Guest,First Timers,2023-04-20 17:33:00,2023-04-24,5:04-7:10,2,Marios,sdfdsf,marios-1996@windowslive.com,546546464654,,,2023-04-20,NO
12006,Guest,First Timers,2023-04-11 19:37:34,2023-04-25,7:00-8:00,2,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Azerbaijan,Azerbaijan,2023-04-11,NO
12035,Guest,2T Enduro,2023-04-25 03:07:07,2023-04-26,14:00-15:00,4,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-04-25,NO
